Sport,Event,Medal,Athlete,Country,Year,City,Season
FENCING,MEN’S TEAM ÉPÉE,Silver,Japan,Japan,2024,Paris,Summer
JUDO,MEN’S +100KG,Silver,Kim Min-jong,South Korea,2024,Paris,Summer
JUDO,WOMEN’S +78KG,Silver,Raz Hershko,Israel,2024,Paris,Summer
ROWING,MEN’S PAIR,Silver,Tom George and Oliver Wynne-Griffith,Great Britain,2024,Paris,Summer
ROWING,MEN’S LIGHTWEIGHT DOUBLE SCULLS,Silver,Stefano Oppo and Gabriel Soares,Italy,2024,Paris,Summer
ROWING,WOMEN’S PAIR,Silver,Roxana Anghel and Ioana Vrinceanu,Romania,2024,Paris,Summer
ROWING,WOMEN’S LIGHTWEIGHT DOUBLE SCULLS,Silver,Ionela Cozmiuc and Gianina van Groningen,Romania,2024,Paris,Summer
SAILING,MEN’S SKIFF,Silver,Isaac McHardie and William McKenzie,New Zealand,2024,Paris,Summer
SAILING,WOMEN’S SKIFF,Silver,Vilma Bobeck and Rebecca Netzler,Sweden,2024,Paris,Summer
SHOOTING,WOMEN’S 50M RIFLE 3 POSITIONS,Silver,Sagen Maddalena,United States,2024,Paris,Summer
SWIMMING,MEN’S 200M INDIVIDUAL MEDLEY,Silver,Duncan Scott,Great Britain,2024,Paris,Summer
SWIMMING,MEN’S 50M FREESTYLE,Silver,Benjamin Proud,Great Britain,2024,Paris,Summer
SWIMMING,WOMEN’S 200 BACKSTROKE,Silver,Regan Smith,United States,2024,Paris,Summer
TENNIS,MIXED DOUBLES,Silver,Wang Xinyu and Zhang Zhizhen,China,2024,Paris,Summer
TRACK AND FIELD,"MEN’S 10,000M",Silver,Berihu Aregawi,Ethiopia,2024,Paris,Summer
TRAMPOLINE,MEN’S ,Silver,Wang Zisai,China,2024,Paris,Summer
TRAMPOLINE,WOMEN’S,Silver,Viyaleta Bardzilouskaya,Belarus,2024,Paris,Summer
CANOE SLALOM,MEN’S SINGLE KAYAK,Silver,Titouan Castryck,France,2024,Paris,Summer
FENCING,WOMEN’S TEAM FOIL,Silver,Italy,Italy,2024,Paris,Summer
GYMNASTICS,WOMEN’S ALL-AROUND,Silver,Rebeca Andrade,Brazil,2024,Paris,Summer
JUDO,MEN’S -100KG,Silver,Ilia Sulamanidze,Georgia,2024,Paris,Summer
JUDO,WOMEN’S -78KG,Silver,Inbar Lanir,Israel,2024,Paris,Summer
ROWING,MEN’S DOUBLE SCULLS,Silver,Stef Broenink and Melvin Twellaar,Netherlands,2024,Paris,Summer
ROWING,WOMEN’S DOUBLE SCULLS,Silver,Ancuta Bodnar and Simona Radis,Romania,2024,Paris,Summer
ROWING,MEN’S FOUR,Silver,New Zealand,New Zealand,2024,Paris,Summer
ROWING,WOMEN’S FOUR,Silver,Britain,Britain,2024,Paris,Summer
SHOOTING,MEN’S 50M RIFLE 3 POSITIONS,Silver,Serhiy Kulish,Ukraine,2024,Paris,Summer
SWIMMING,MEN’S 200M BACKSTROKE,Silver,Apostolos Christou,Greece,2024,Paris,Summer
SWIMMING,WOMEN’S 200M BUTTERFLY,Silver,Regan Smith,United States,2024,Paris,Summer
SWIMMING,WOMEN’S 200M BREASTSTROKE,Silver,Tatjana Smith,South Africa,2024,Paris,Summer
SWIMMING,WOMENS 4X200 FREESTYLE RELAY,Silver,United States,United States,2024,Paris,Summer
TRACK AND FIELD,MEN’S 20KM RACE WALK,Silver,Caio Bonfim,Brazil,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 20KM RACE WALK,Silver,María Pérez,Spain,2024,Paris,Summer
GYMNASTICS,MEN’S ALL AROUND,Silver,Zhang Boheng,China,2024,Paris,Summer
CANOE,WOMEN’S SINGLE,Silver,Elena Lilik,Germany,2024,Paris,Summer
CYCLING,WOMEN’S PARK,Silver,Perris Benegas,United States,2024,Paris,Summer
CYCLING,MEN’S PARK,Silver,Kieran Darren David Reilly,Great Britain,2024,Paris,Summer
DIVING,WOMEN’S SYNCHRONIZED 10-METER PLATFORM,Silver,Jo Jin Mi and Kim Mi Rae,North Korea,2024,Paris,Summer
FENCING,MEN’S SABRE TEAM,Silver,Hungary,Hungary,2024,Paris,Summer
JUDO,WOMEN’S 70KG,Silver,Miriam Butkereit,Germany,2024,Paris,Summer
JUDO,MEN’S 90KG,Silver,Sanshiro Murao,Japan,2024,Paris,Summer
ROWING,MEN’S QUADRUPLE SCULLS,Silver,"Luca Chiumento, Luca Rambaldi, Andrea Panizza, Giacomo Gentili)",Italy,2024,Paris,Summer
ROWING,WOMEN’S QUADRUPLE SCULLS,Silver,"Laila Youssifou, Bente Paulis, Roos de Jong, Tessa Dullemans)",Netherlands,2024,Paris,Summer
SWIMMING,WOMEN’S 100M FREESTYLE,Silver,Torri Huske,United States,2024,Paris,Summer
SWIMMING,"WOMEN’S 1,500M FREESTYLE",Silver,Anastasiia Kirpichnikova,France,2024,Paris,Summer
SWIMMING,MEN’S 100M FREESTYLE,Silver,Kyle Chalmers,Australia,2024,Paris,Summer
SWIMMING,MEN’S 200M BREASTSTROKE,Silver,Zac Stubblety-Cook,Australia,2024,Paris,Summer
SWIMMING,MEN’S 200M BUTTERFLY,Silver,Kristof Milak,Hungary,2024,Paris,Summer
SHOOTING,WOMEN’S TRAP,Silver,Silvana Maria Stanco,Italy,2024,Paris,Summer
TRIATHLON,WOMEN,Silver,Julie Derron,Switzerland,2024,Paris,Summer
TRIATHLON,MEN,Silver,Hayden Wilde,New Zealand,2024,Paris,Summer
FENCING,WOMEN’S EPEE TEAM,Silver,France,France,2024,Paris,Summer
GYMNASTICS,WOMEN’S TEAM,Silver,Italy,Italy,2024,Paris,Summer
JUDO,WOMEN’S 63KG,Silver,Prisca Awiti Alcaraz,Mexico,2024,Paris,Summer
JUDO,MEN’S 81KG,Silver,Tato Grigalashvili,Georgia,2024,Paris,Summer
RUGBY SEVENS,WOMEN’S,Silver,Canada,Canada,2024,Paris,Summer
SHOOTING,MIXED TEAM 10M AIR PISTOL,Silver,Sevval Ilayda Tarhan and Yusef Dikec,Turkey,2024,Paris,Summer
SHOOTING,MEN’S TRAP,Silver,Qi Ying,China,2024,Paris,Summer
SWIMMING,WOMEN’S 100M BACKSTROKE,Silver,Regan Smith,United States,2024,Paris,Summer
SWIMMING,MEN’S 800M FREESTYLE,Silver,Bobby Finke,United States,2024,Paris,Summer
SWIMMING,MEN’S 4X200M FREESTYLE RELAY,Silver,United States,United States,2024,Paris,Summer
TABLE TENNIS,MEN’S 4x200M FREESTYLE RELAY,Silver,Ri Jong-sik and Kim Kum-yong,North Korea,2024,Paris,Summer
ARCHERY,MIXED DOUBLES,Silver,France,France,2024,Paris,Summer
ARTISTIC GYMNASTICS,MEN’S TEAM,Silver,China,China,2024,Paris,Summer
CANOE SLALOM,MEN’S TEAM,Silver,Adam Burgess,Great Britain,2024,Paris,Summer
CYCLING MOUNTAIN BIKE,MEN’S CANOE SINGLE,Silver,Victor Koretzky,France,2024,Paris,Summer
DIVING,MEN’S CROSS-COUNTRY,Silver,Tom Daley and Noah Williams,Great Britain,2024,Paris,Summer
EQUESTRIAN,MEN’S SYNCHRONIZED 10M PLATFORM,Silver,France,France,2024,Paris,Summer
FENCING,EVENTING TEAM,Silver,Sara Balzer,France,2024,Paris,Summer
FENCING,MEN’S FOIL INDIVIDUAL,Silver,Filippo Macchi,Italy,2024,Paris,Summer
JUDO,WOMEN’S SABER INDIVIDUAL,Silver,Mimi Huh,South Korea,2024,Paris,Summer
JUDO,MEN’S 73KG,Silver,Joan-Benjamin Gaba,France,2024,Paris,Summer
SHOOTING,WOMEN’S 57KG,Silver,Huang Yuting,China,2024,Paris,Summer
SHOOTING,MEN’S 10M AIR RIFLE,Silver,Victor Lindgren,Sweden,2024,Paris,Summer
SKATEBOARDING,WOMEN’S 10M AIR RIFLE,Silver,Jagger Eaton,United States,2024,Paris,Summer
SWIMMING,WOMEN’S 100M BREASTSTROKE,Silver,Tang Qianting,China,2024,Paris,Summer
SWIMMING,WOMEN’S 200M FREESTYLE,Silver,Ariarne Titmus,Australia,2024,Paris,Summer
SWIMMING,WOMEN’S 400M INDIVIDUAL MEDLEY,Silver,Katie Grimes,United States,2024,Paris,Summer
SWIMMING,MEN’S 100M BACKSTROKE,Silver,Xu Jiayu,China,2024,Paris,Summer
SWIMMING,MEN’S 200M FREESTYLE,Silver,Matthew Richards,Great Britain,2024,Paris,Summer
ARCHERY,WOMEN’S TEAM,Silver,China,China,2024,Paris,Summer
CANOE SLALOM,WOMEN’S KAYAK SINGLE,Silver,Klaudia Zwolinska,Poland,2024,Paris,Summer
CYCLING MOUNTAIN BIKE,WOMEN’S CROSS-COUNTRY,Silver,Haley Batten,United States,2024,Paris,Summer
FENCING,WOMEN’S FOIL INDIVIDUAL,Silver,Lauren Scruggs,United States,2024,Paris,Summer
JUDO,WOMEN’S 52KG,Silver,Distria Krasniqi,Kosovo,2024,Paris,Summer
JUDO,MEN’S 66KG,Silver,Willian Lima,Brazil,2024,Paris,Summer
SHOOTING,MEN’S 10M AIR PISTOL,Silver,Federico Nilo Maldini,Italy,2024,Paris,Summer
SWIMMING,MEN’S 400M INDIVIDUAL MEDLEY,Silver,Tomoyuki Matsushita,Japan,2024,Paris,Summer
SWIMMING,WOMEN’S 100M BUTTERFLY,Silver,Gretchen Walsh,United States,2024,Paris,Summer
SHOOTING,WOMEN’S 10M AIR PISTOL,Silver,Kim Ye-ji,South Korea,2024,Paris,Summer
SKATEBOARDING,WOMEN’S STREET,Silver,Liz Akama,Japan,2024,Paris,Summer
CYCLING,MEN’S INDIVIDUAL TIME TRIAL,Silver,Filippo Ganna,Italy,2024,Paris,Summer
CYCLING,WOMEN’S INDIVIDUAL TIME TRIAL,Silver,Anna Henderson,Great Britain,2024,Paris,Summer
DIVING,WOMEN’S SYNCHRONIZED 3M SPRINGBOARD,Silver,Sarah Bacon and Kassidy Cook,United States,2024,Paris,Summer
FENCING,WOMEN’S EPEE INDIVIDUAL,Silver,Auriane Mallo-Breton,France,2024,Paris,Summer
FENCING,MEN’S SABER INDIVIDUAL,Silver,Fares Ferjani,Tunisia,2024,Paris,Summer
JUDO,WOMEN 48KG,Silver,Baasankhuu Bavuudori,Mongolia,2024,Paris,Summer
JUDO,MEN 60KG,Silver,Luka Mkheidze,France,2024,Paris,Summer
RUGBY SEVENS,MEN’S,Silver,Fiji,Fiji,2024,Paris,Summer
SHOOTING,10M AIR RIFLE MIXED TEAM,Silver,Keum Ji-hyeon and Park Ha-jun,South Korea,2024,Paris,Summer
SWIMMING,MEN’S 400M FREESTYLE,Silver,Elijah Winnington,Australia,2024,Paris,Summer
SWIMMING,MEN’S 4X100M FREESTYLE RELAY,Silver,Australia,Australia,2024,Paris,Summer
SWIMMING,WOMEN’S 400M FREESTYLE,Silver,Summer McIntosh,Canada,2024,Paris,Summer
SWIMMING,WOMEN’S 4X100M FREESTYLE RELAY,Silver,United States,United States,2024,Paris,Summer
ATHLETICS,WOMEN’S MARATHON,Bronze,Hellen Obiri,Kenya,2024,Paris,Summer
BASKETBALL,WOMEN’S,Bronze,Australia,Australia,2024,Paris,Summer
CYCLING TRACK,MEN’S KEIRIN,Bronze,Matthew Glaetzer,Australia,2024,Paris,Summer
CYCLING TRACK,WOMEN’S SPRING,Bronze,Emma Finucane),Great Britain,2024,Paris,Summer
CYCLING TRACK,WOMEN’S OMNIUM,Bronze,Ally Wollaston,New Zealand,2024,Paris,Summer
HANDBALL,MEN’S,Bronze,Spain,Spain,2024,Paris,Summer
MODERN PENTATHLON,WOMEN’S INDIVIDUAL,Bronze,Seungmin Seong,South Korea,2024,Paris,Summer
VOLLEYBALL,WOMEN’S,Bronze,Brazil,Brazil,2024,Paris,Summer
WATER POLO,MEN’S,Bronze,United States,United States,2024,Paris,Summer
WEIGHTLIFTING,WOMEN’S +81KG,Bronze,Emily Campbell),Great Britain,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 76KG,Bronze,Tatiana Rentereia and Cuba,Colombia,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 65KG,Bronze,Islam Dudaev and Puerto Rico,Albania,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 97KG,Bronze,Magomedkhan Magomedov and Iran,Azerbaijan,2024,Paris,Summer
ARTISTIC SWIMMING,DUET,Bronze,Bregje de Brouwer and Noortje de Brouwer,Netherlands,2024,Paris,Summer
BASKETBALL,MEN,Bronze,Serbia,Serbia,2024,Paris,Summer
BEACH VOLLEYBALL,MEN,Bronze,Anders Mol and Christian Sorum,Norway,2024,Paris,Summer
BREAKING,B-BOYS,Bronze,Victor (Victor Montalvo),United States,2024,Paris,Summer
CANOE SPRINT,MEN’S 1000M SINGLE KAYAK,Bronze,Balint Kopasz,Hungary,2024,Paris,Summer
CANOE SPRINT,WOMEN’S 500M SINGLE KAYAK,Bronze,Emma Jørgensen,Denmark,2024,Paris,Summer
CANOE SPRINT,WOMEN’S 200M SINGLE KAYAK,Bronze,Yarisleidis Cirilo,Cuba,2024,Paris,Summer
CYCLING TRACK,MEN’S MADISON,Bronze,Niklas Larsen and Michael Mørkøv,Denmark,2024,Paris,Summer
DIVING,MEN’S 10M PLATFORM,Bronze,Noah Williams,Great Britain,2024,Paris,Summer
GOLF,WOMEN’S INDIVIDUAL,Bronze,Lin Xiyu,China,2024,Paris,Summer
HANDBALL,WOMEN,Bronze,Denmark,Denmark,2024,Paris,Summer
MODERN PENTATHLON,MEN’S,Bronze,Giorgio Malan,Italy,2024,Paris,Summer
RHYTHMIC GYMNASTICS,GROUP ALL-AROUND,Bronze,Italy,Italy,2024,Paris,Summer
SOCCER,WOMEN’S,Bronze,Germany,Germany,2024,Paris,Summer
SPORT CLIMBING,WOMEN’S BOULDER & LEAD,Bronze,Jessica Pilz,Austria,2024,Paris,Summer
TABLE TENNIS,WOMEN’S TEAM,Bronze,South Korea,South Korea,2024,Paris,Summer
TRACK AND FIELD,MEN’S MARATHON,Bronze,Benson Kipruto,Kenya,2024,Paris,Summer
TRACK AND FIELD,MEN’S 800M,Bronze,Djamel Sedjati,Algeria,2024,Paris,Summer
TRACK AND FIELD,MEN’S 5000M,Bronze,Grant Fisher,United States,2024,Paris,Summer
TRACK AND FIELD,MEN’S HIGH JUMP,Bronze,Mutaz Barshim,Qatar,2024,Paris,Summer
TRACK AND FIELD,MEN’S 4X400M RELAY,Bronze,Britain,Britain,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 4X400M RELAY,Bronze,Britain,Britain,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 1500M,Bronze,Georgia Bell,Great Britain,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S JAVELIN THROW,Bronze,Nikola Ogrodnikova,Czech Republic,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 100M HURDLES,Bronze,Jasmine Camacho-Quinn,Puerto Rico,2024,Paris,Summer
VOLLEYBALL,MEN’S TEAM,Bronze,United States,United States,2024,Paris,Summer
WATER POLO,WOMEN’S,Bronze,Netherlands,Netherlands,2024,Paris,Summer
WEIGHTLIFTING,MEN’S 102KG,Bronze,Yauheni Tsikhantsou,Belarus,2024,Paris,Summer
WEIGHTLIFTING,MEN’S 102KG,Bronze,Gor Minasyan,Bahrain,2024,Paris,Summer
WEIGHTLIFTING,WOMEN’S 81KG,Bronze,Neisi Dajomes,Ecuador,2024,Paris,Summer
TRACK AND FIELD,MEN’S 400M HURDLES,Bronze,Alison dos Santos,Brazil,2024,Paris,Summer
TRACK AND FIELD,MEN’S TRIPLE JUMP,Bronze,Andy Diaz Hernandez,Italy,2024,Paris,Summer
TRACK AND FIELD,MEN’S 4X100M RELAY,Bronze,Britain,Britain,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 4X100M RELAY,Bronze,Germany,Germany,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S SHUT PUT,Bronze,Song Jiayuan,China,2024,Paris,Summer
TRACK AND FIELD,"WOMEN’S 10,000M",Bronze,Sifan Hassan,Netherlands,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 400M,Bronze,Natalia Kaczmarek,Poland,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 4X100M RELAY,Bronze,Germany,Germany,2024,Paris,Summer
BEACH VOLLEYBALL,WOMEN’S,Bronze,Switzerland,Switzerland,2024,Paris,Summer
BREAKING,B-GIRLS,Bronze,671 (Liu Qingyi),China,2024,Paris,Summer
CANOE SPRINT,MEN’S KAYAK DOUBLE 500M,Bronze,Tom Green and Jean van der Westhuyzen,Australia,2024,Paris,Summer
CANOE SPRINT,MEN’S CANOE SINGLE 1000M,Bronze,Serghei Tarnovschi,Moldova,2024,Paris,Summer
CANOE SPRINT,WOMEN’S KAYAK DOUBLE 500M,Bronze,Jule Marie Hake and Paulina Paszek,Germany,2024,Paris,Summer
CANOE SPRINT,WOMEN’S CANOE DOUBLE 500M,Bronze,Sloan MacKenzie and Katie Vincent,Canada,2024,Paris,Summer
CYCLING TRACK,MEN’S SPRINT,Bronze,Jack Carlin,Great Britain,2024,Paris,Summer
CYCLING TRACK,WOMEN’S MADISON,Bronze,Lisa van Belle and Maike van der Duin,Netherlands,2024,Paris,Summer
DIVING,WOMEN’S 3M SPRINGBOARD,Bronze,Chang Yani,China,2024,Paris,Summer
FIELD HOCKEY,WOMEN’S,Bronze,Argentina,Argentina,2024,Paris,Summer
MARATHON SWIMMING,MEN’S 10KM,Bronze,David Betlehem,Hungary,2024,Paris,Summer
RHYTHMIC GYMNASTICS,INDIVIDUAL ALL-AROUND,Bronze,Sofia Raffaeli,Italy,2024,Paris,Summer
SAILING,MEN’S KITE,Bronze,Max Maeder,Singapore,2024,Paris,Summer
SOCCER,MEN,Bronze,Morocco,Morocco,2024,Paris,Summer
SPORT CLIMBING,MEN’S BOULDER & LEAD,Bronze,Jacob Schubert,Austria,2024,Paris,Summer
TABLE TENNIS,MEN’S TEAM,Bronze,France,France,2024,Paris,Summer
WEIGHTLIFTING,WOMEN’S 71KG,Bronze,Angie Dajomes,Ecuador,2024,Paris,Summer
WEIGHTLIFTING,MEN’S 89KG,Bronze,Antonino Pizzolato,Italy,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 57KG,Bronze,Helen Maroulis,United States,2024,Paris,Summer
TRACK AND FIELD,MEN’S 200M,Bronze,Noah Lyles,United States,2024,Paris,Summer
TRACK AND FIELD,MEN’S 110M HURDLES,Bronze,Rasheed Broadbell,Jamaica,2024,Paris,Summer
TRACK AND FIELD,MEN’S JAVELIN THROW,Bronze,Anderson Peters,Grenada,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 400M HURDLES,Bronze,Femke Bol,Netherlands,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S LONG JUMP,Bronze,Jasmine Moore,United States,2024,Paris,Summer
CYCLING,MEN’S OMNIUM,Bronze,Fabio van den Bossche,Belgium,2024,Paris,Summer
CYCLING,WOMEN’S KEIRIN,Bronze,Emma Finucane,Great Britain,2024,Paris,Summer
CANOE SLALOM,MEN’S CANOE DOUBLE 500M,Bronze,Joan Antoni Moreno and Diego Dominguez,Spain,2024,Paris,Summer
CANOE SLALOM,WOMEN’S KAYAK FOUR 500M,Bronze,Hungary,Hungary,2024,Paris,Summer
CANOE SLALOM,MEN’S KAYAK FOUR 500M,Bronze,Spain,Spain,2024,Paris,Summer
FIELD HOCKEY,MEN’S,Bronze,India,India,2024,Paris,Summer
MARATHON SWIMMING,WOMEN’S 10KM,Bronze,Ginevra Taddeucci,Italy,2024,Paris,Summer
SPORTS CLIMBING,MEN’S SPEED,Bronze,Sam Watson,United States,2024,Paris,Summer
DIVING,MEN’S 3M SPRINGBOARD,Bronze,Osmar Olvera Ibarra,Mexico,2024,Paris,Summer
SAILING,MIXED DINGHY,Bronze,Anton Dahlberg and Lovisa Karlsson,Sweden,2024,Paris,Summer
SAILING,MIXED MULTIHULL,Bronze,Micah Wilkinson and Erica Dawson,New Zealand,2024,Paris,Summer
SAILING,WOMEN’S KITE,Bronze,Annelous Lammerts,Netherlands,2024,Paris,Summer
WEIGHTLIFTING,WOMEN’S 59KG,Bronze,Kuo Hsing-chun,Taiwan,2024,Paris,Summer
WRESTLING,MEN’S GRECO-ROMAN 67KG,Bronze,Hasrat Jafarov,Azerbaijan,2024,Paris,Summer
WRESTLING,MEN’S GRECO-ROMAN 87KG,Bronze,Zhan Beleniuk,Ukraine,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 53KG,Bronze,Choe Hyo Gyong,North Korea,2024,Paris,Summer
ARTISTIC SWIMMING,TEAM,Bronze,Spain,Spain,2024,Paris,Summer
BOXING,MEN’S 63.5KG,Bronze,No medal awarded,No medal awarded,2024,Paris,Summer
BOXING,MEN’S 80KG,Bronze,No medal awarded,No medal awarded,2024,Paris,Summer
CLIMBING,WOMEN’S SPEED,Bronze,Aleksandra Kalucka,Poland,2024,Paris,Summer
CYCLING,CYCLING MEN’S TEAM PURSUIT,Bronze,"Simone Consonni, Filippo Ganna, Francesco Lamon, Jonathan Milan)",Italy,2024,Paris,Summer
CYCLING,CYCLING WOMEN’S TEAM PURSUIT,Bronze,"Elinor Barker, Josie Knight, Anna Morris, Jessica Roberts)",Great Britain,2024,Paris,Summer
SAILING,MEN’S DINGHY,Bronze,Stefano Peschiera,Peru,2024,Paris,Summer
SAILING,WOMEN’S DINGHY,Bronze,Line Flem Hoest,Norway,2024,Paris,Summer
SKATEBOARDING,MEN’S PARK,Bronze,Augusto Akio,Brazil,2024,Paris,Summer
TAEKWONDO,MEN 58KG,Bronze,Cyrian Ravet,France,2024,Paris,Summer
TAEKWONDO,WOMEN’S 49KG,Bronze,Lena Stojkovic,Croatia,2024,Paris,Summer
TRACK AND FIELD,MEN’S 400M,Bronze,Muzala Samukonga,Zambia,2024,Paris,Summer
TRACK AND FIELD,"MEN’S 3,000M STEEPLECHASE",Bronze,Abraham Kibiwot,Kenya,2024,Paris,Summer
TRACK AND FIELD,MEN’S DISCUS THROW,Bronze,Matthew Denny,Australia,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S POLE VAULT,Bronze,Alysha Newman,Canada,2024,Paris,Summer
TRACK AND FIELD,MARATHON RACE WALK MIXED RELAY,Bronze,Australia,Australia,2024,Paris,Summer
WEIGHTLIFTING,MEN’S 61KG,Bronze,Hampton Morris,United States,2024,Paris,Summer
WEIGHTLIFTING,WOMEN’S 49KG,Bronze,Surodchana Khambao,Thailand,2024,Paris,Summer
WRESTLING,MEN’S GRECO-ROMAN 77KG,Bronze,Malkhas Amoyan,Armenia,2024,Paris,Summer
WRESTLING,MEN’S GRECO-ROMAN 97KG,Bronze,Gabriel Alejandro Rosillo Kindelan,Cuba,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 50KG,Bronze,Yui Susaki,Japan,2024,Paris,Summer
BOXING,WOMEN’S 60KG,Bronze,Beatriz Iasmin Soares Ferreira,Brazil,2024,Paris,Summer
CYCLING TRACK,MEN’S TEAM SPRINT,Bronze,Australia,Australia,2024,Paris,Summer
DIVING,WOMEN’S 10M PLATFORM,Bronze,Kim Mi Rae,North Korea,2024,Paris,Summer
EQUESTRIAN,INDIVIDUAL JUMPING,Bronze,Maikel van der Vleuten,Netherlands,2024,Paris,Summer
SKATEBOARDING,WOMEN’S PARK,Bronze,Sky Brown,Great Britain,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 200M,Bronze,Brittany Brown,United States,2024,Paris,Summer
TRACK AND FIELD,"WOMEN’S 3,000M STEEPLECHASE",Bronze,Faith Cherotich,Kenya,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S HAMMER THROW,Bronze,Zhao Jie,China,2024,Paris,Summer
TRACK AND FIELD,"MEN’S 1,500M",Bronze,Yared Nuguse,United States,2024,Paris,Summer
TRACK AND FIELD,MEN’S LONG JUMP,Bronze,Mattia Furlani,Italy,2024,Paris,Summer
WRESTLING,MEN’S GRECO-ROMAN 130KG,Bronze,Lingzhe Meng,China,2024,Paris,Summer
WRESTLING,MEN’S GRECO-ROMAN 60KG,Bronze,Ri Se Ung,North Korea,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 68KG,Bronze,Buse Cavusoglu Tosun,Turkey,2024,Paris,Summer
3X3 BASKETBALL,MEN’S 3X3 BASKETBALL,Bronze,Lithuania,Lithuania,2024,Paris,Summer
3X3 BASKETBALL,WOMEN’S 3X3 BASKETBALL,Bronze,United States,United States,2024,Paris,Summer
BADMINTON,MEN’S SINGLES,Bronze,Lee Zii Jia,Malaysia,2024,Paris,Summer
BADMINTON,WOMEN’S SINGLES,Bronze,Gregoria Mariska Tunjung,Indonesia,2024,Paris,Summer
CANOE SLALOM,MEN’S KAYAK CROSS,Bronze,Noah Hegge,Germany,2024,Paris,Summer
CANOE SLALOM,WOMEN’S KAYAK CROSS,Bronze,Kimberley Woods,Great Britain,2024,Paris,Summer
CYCLING TRACK,WOMEN’S TEAM SPRINT,Bronze,Germany,Germany,2024,Paris,Summer
GYMNASTICS,MEN’S PARALLEL BARS,Bronze,Shinnosuke Oka,Japan,2024,Paris,Summer
GYMNASTICS,WOMEN’S BALANCE BEAM,Bronze,Manila Esposito,Italy,2024,Paris,Summer
GYMNASTICS,WOMEN’S FLOOR EXERCISE,Bronze,Ana Barbosu,Romania,2024,Paris,Summer
SHOOTING,MEN’S 25M RAPID FIRE PISTOL,Bronze,Wang Xinjie,China,2024,Paris,Summer
SHOOTING,MIXED TEAM SKEET,Bronze,Jiang Yiting and Lyu Jianlin,China,2024,Paris,Summer
SURFING,MEN,Bronze,Gabriel Medina,Brazil,2024,Paris,Summer
SURFING,WOMEN,Bronze,Johanne Defay,France,2024,Paris,Summer
TRACK AND FIELD,MEN’S POLE VAULT,Bronze,Emmanouil Karalis,Greece,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 800M,Bronze,Mary Moraa,Kenya,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 5000M,Bronze,Sifan Hassan,Netherlands,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S DISCUS THROW,Bronze,Sandra Elkasevic,Croatia,2024,Paris,Summer
TRIATHLON,MIXED RELAY,Bronze,Britain,Britain,2024,Paris,Summer
ARCHERY,MEN’S INDIVIDUAL,Bronze,Lee Woo-seok,South Korea,2024,Paris,Summer
ARTISTIC GYMNASTICS,MEN’S RINGS,Bronze,Eleftherios Petrounias,Greece,2024,Paris,Summer
ARTISTIC GYMNASTICS,MEN’S VAULT,Bronze,Harry Hepworth,Great Britain,2024,Paris,Summer
ARTISTIC GYMNASTICS,WOMEN’S UNEVEN BARS,Bronze,Sunisa Lee,United States,2024,Paris,Summer
BADMINTON,MEN’S DOUBLES,Bronze,Aaron Chia and Soh Wooi Yik,Malaysia,2024,Paris,Summer
CYCLING,WOMEN’S ROAD RACE,Bronze,Lotte Kopecky,Belgium,2024,Paris,Summer
EQUESTRIAN,DRESSAGE INDIVIDUAL,Bronze,Charlotte Fry,Great Britain,2024,Paris,Summer
FENCING,MEN’S FOIL TEAM,Bronze,France,France,2024,Paris,Summer
GOLF,MEN’S INDIVIDUAL,Bronze,Hideki Matsuyama,Japan,2024,Paris,Summer
SHOOTING,WOMEN’S SKEET,Bronze,Austen Smith,United States,2024,Paris,Summer
SWIMMING,WOMEN’S 50M FREESTYLE,Bronze,Zhang Yufei,China,2024,Paris,Summer
SWIMMING,WOMEN’S 4x100M MEDLEY RELAY,Bronze,China,China,2024,Paris,Summer
SWIMMING,MEN’S 1500M FREESTYLE,Bronze,Daniel Wiffen,Ireland,2024,Paris,Summer
SWIMMING,MEN’S 4x100M MEDLEY RELAY,Bronze,France,France,2024,Paris,Summer
TABLE TENNIS,MEN’S SINGLES,Bronze,Félix Lebrun,France,2024,Paris,Summer
